date, Austria, Belgium, Bulgaria, Croatia, Czech Rep., Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland
12/06/2022,400.0,404.0,396.0,390.0,369.0,386.0,384.0,244.0,418.0,386.0,401.0,398.0,391.0,384.0,384.0,349.0,251.0,226.0,153.0,396.0,398.0,393.0,402.0,153.0,279.0,407.0
12/07/2022,394.0,414.0,349.0,366.0,386.0,388.0,388.0,364.0,417.0,388.0,338.0,385.0,359.0,388.0,388.0,369.0,298.0,213.0,122.0,381.0,362.0,386.0,404.0,122.0,332.0,401.0
12/08/2022,428.0,438.0,339.0,366.0,401.0,410.0,408.0,408.0,448.0,411.0,298.0,407.0,341.0,408.0,408.0,414.0,316.0,232.0,142.0,339.0,276.0,405.0,416.0,144.0,356.0,420.0
12/09/2022,367.0,364.0,320.0,266.0,348.0,355.0,352.0,328.0,370.0,355.0,286.0,337.0,317.0,352.0,352.0,356.0,286.0,230.0,125.0,320.0,271.0,342.0,383.0,125.0,294.0,372.0
12/10/2022,340.0,332.0,205.0,218.0,301.0,327.0,327.0,326.0,333.0,327.0,158.0,300.0,252.0,327.0,327.0,328.0,269.0,174.0,,205.0,197.0,308.0,332.0,146.0,284.0,361.0
12/11/2022,430.0,461.0,426.0,354.0,373.0,434.0,398.0,386.0,465.0,434.0,326.0,399.0,407.0,411.0,418.0,428.0,359.0,181.0,115.0,426.0,380.0,397.0,423.0,115.0,353.0,454.0
12/12/2022,428.0,467.0,392.0,408.0,442.0,444.0,438.0,434.0,463.0,444.0,319.0,438.0,381.0,439.0,439.0,434.0,398.0,199.0,98.0,392.0,387.0,439.0,450.0,98.0,412.0,429.0
12/13/2022,438.0,448.0,445.0,445.0,444.0,444.0,445.0,445.0,451.0,444.0,399.0,444.0,378.0,445.0,445.0,438.0,374.0,211.0,81.0,445.0,367.0,444.0,446.0,81.0,444.0,441.0
12/14/2022,430.0,409.0,390.0,393.0,398.0,397.0,398.0,398.0,404.0,397.0,276.0,398.0,,398.0,398.0,386.0,301.0,227.0,128.0,390.0,376.0,398.0,401.0,131.0,314.0,
12/15/2022,431.0,410.0,294.0,389.0,411.0,412.0,408.0,392.0,411.0,411.0,261.0,414.0,318.0,408.0,413.0,402.0,281.0,218.0,128.0,294.0,355.0,413.0,409.0,129.0,270.0,426.0
12/16/2022,296.0,283.0,213.0,235.0,264.0,251.0,269.0,206.0,282.0,269.0,247.0,262.0,277.0,269.0,269.0,268.0,189.0,235.0,134.0,213.0,230.0,263.0,272.0,134.0,185.0,300.0
12/17/2022,228.0,234.0,176.0,162.0,187.0,184.0,184.0,171.0,231.0,190.0,226.0,188.0,247.0,184.0,184.0,235.0,146.0,177.0,,176.0,,187.0,216.0,98.0,128.0,267.0
